rf_id,convey_ty,employer_assign
141390327,assignment,0
141560758,assignment,0
141620830,assignment,0
141640860,assignment,0
141720065,assignment,0
141860669,assignment,0
141930337,assignment,0
141980692,assignment,0
142010976,assignment,0
142120770,assignment,0
142150160,assignment,0
142150180,assignment,0
142150218,assignment,0
142150224,assignment,0
142170356,assignment,0
142330030,assignment,0
142500677,assignment,0
142510352,assignment,0
142590628,assignment,0
142610166,assignment,0
142610765,assignment,0
142640867,assignment,0
142660679,assignment,0
142680010,assignment,0
142680182,assignment,0
142680359,assignment,0
142680983,assignment,0
142870938,assignment,0
142910153,assignment,0
142930123,assignment,0
142940998,assignment,0
143010767,assignment,0
143130925,assignment,0
143730500,assignment,0
143730832,assignment,0
143730834,assignment,0
143840852,assignment,0
143840872,assignment,0
143850463,assignment,0
143860138,assignment,0
143930763,assignment,0
143930803,assignment,0
143960830,assignment,0
144020228,assignment,0
144020534,assignment,0
144020889,assignment,0
144020982,assignment,0
144060773,assignment,0
144070040,assignment,0
144090458,assignment,0
144200796,assignment,0
144320037,assignment,0
144580476,assignment,0
144580493,assignment,0
144580498,assignment,0
144580514,assignment,0
144680137,assignment,0
144760811,assignment,0
144820402,assignment,0
144850497,assignment,0
144950336,assignment,0
144950353,assignment,0
144950359,assignment,0
144960705,assignment,0
144960711,assignment,0
145140962,assignment,0
145140977,assignment,0
145150291,assignment,0
145210303,assignment,0
145220569,assignment,0
145240764,assignment,0
145250307,assignment,0
145360864,assignment,0
145390729,assignment,0
145430065,assignment,0
145430074,assignment,0
145570470,assignment,0
145660380,assignment,0
145680275,assignment,0
145760876,assignment,0
145790305,assignment,0
145790311,assignment,0
145810333,assignment,0
145810336,assignment,0
145810339,assignment,0
145810342,assignment,0
145810346,assignment,0
145810356,assignment,0
145810368,assignment,0
145810427,assignment,0
145810436,assignment,0
145810686,assignment,0
145810697,assignment,0
145820538,assignment,0
145820647,assignment,0
145870256,assignment,0
145870273,assignment,0
145900306,assignment,0
145900329,assignment,0
145920257,assignment,0
145920273,assignment,0
145920288,assignment,0
145930945,assignment,0
145930960,assignment,0
145930966,assignment,0
146060925,assignment,0
146300480,assignment,0
146430006,assignment,0
146470534,assignment,0
146560628,assignment,0
146560665,assignment,0
146560667,assignment,0
146620284,assignment,0
146620288,assignment,0
146620292,assignment,0
146620323,assignment,0
146620437,assignment,0
146640304,assignment,0
146750855,assignment,0
146830338,assignment,0
146920458,assignment,0
146920942,assignment,0
147170885,assignment,0
147200781,assignment,0
147200800,assignment,0
147240042,assignment,0
147250854,assignment,0
147340445,assignment,0
147480928,assignment,0
147700806,assignment,0
147760577,assignment,0
147820133,assignment,0
147840508,assignment,0
147880043,assignment,0
147960436,assignment,0
148300844,assignment,0
148410088,assignment,0
148450714,assignment,0
148660351,assignment,0
148690194,assignment,0
148690310,assignment,0
148750513,assignment,0
148850317,assignment,0
148920082,assignment,0
148930647,assignment,0
149080824,assignment,0
149100909,assignment,0
149130400,assignment,0
149130419,assignment,0
149160188,assignment,0
149340369,assignment,0
149420727,assignment,0
149850143,assignment,0
149900014,assignment,0
150000001,assignment,0
150070466,assignment,0
150070475,assignment,0
150080103,assignment,0
150080617,assignment,0
150080626,assignment,0
150140957,assignment,0
150170175,assignment,0
150170310,assignment,0
150170986,assignment,0
150230164,assignment,0
150270525,assignment,0
150300412,assignment,0
150420441,assignment,0
150460115,assignment,0
150480441,assignment,0
150530237,assignment,0
150560665,assignment,0
150560688,assignment,0
150620113,assignment,0
150720678,assignment,0
150750766,assignment,0
150850762,assignment,0
150850764,assignment,0
150850770,assignment,0
150980384,assignment,0
151090960,assignment,0
151140104,assignment,0
151160001,assignment,0
151160370,assignment,0
151170213,assignment,0
151270637,assignment,0
151300705,assignment,0
151310333,assignment,0
151340048,assignment,0
151510877,assignment,0
151520126,assignment,0
151690496,assignment,0
151690498,assignment,0
151770736,assignment,0
151810008,assignment,0
151820280,assignment,0
151990964,assignment,0
152000295,assignment,0
152000960,assignment,0
152010368,assignment,0
152060001,assignment,0
152060725,assignment,0
152090998,assignment,0
152150061,assignment,0
152150907,assignment,0
152320070,assignment,0
152320080,assignment,0
152320232,assignment,0
152320278,assignment,0
152320375,assignment,0
152320435,assignment,0
152320563,assignment,0
152320727,assignment,0
152330157,assignment,0
152420799,assignment,0
152480731,assignment,0
152490001,assignment,0
152490219,assignment,0
152500476,assignment,0
152500478,assignment,0
152550183,assignment,0
152550986,assignment,0
152600437,assignment,0
152790037,assignment,0
152830735,assignment,0
152840211,assignment,0
152860635,assignment,0
152920556,assignment,0
152960162,assignment,0
153010245,assignment,0
153010328,assignment,0
153010336,assignment,0
153020146,assignment,0
153090056,assignment,0
153110975,assignment,0
153120021,assignment,0
153120706,assignment,0
153170706,assignment,0
153230627,assignment,0
153280801,assignment,0
153400246,assignment,0
153420481,assignment,0
153430781,assignment,0
153480228,assignment,0
153510062,assignment,0
153690361,assignment,0
153700646,assignment,0
153700799,assignment,0
153760792,assignment,0
153870424,assignment,0
153940222,assignment,0
153950530,assignment,0
154020241,assignment,0
154120185,assignment,0
154120321,assignment,0
154420096,assignment,0
154460718,assignment,0
154600916,assignment,0
154610753,assignment,0
154650803,assignment,0
154690068,assignment,0
154690192,assignment,0
154690195,assignment,0
154830029,assignment,0
154860071,assignment,0
154860468,assignment,0
154880515,assignment,0
154940868,assignment,0
154940872,assignment,0
155030946,assignment,0
155090625,assignment,0
155310048,assignment,0
155310067,assignment,0
155370709,assignment,0
155370724,assignment,0
155370729,assignment,0
155370732,assignment,0
155380227,assignment,0
155380818,assignment,0
155610896,assignment,0
155630748,assignment,0
155630764,assignment,0
155630771,assignment,0
155630776,assignment,0
155630802,assignment,0
155830214,assignment,0
155910337,assignment,0
155930717,assignment,0
156050414,assignment,0
156210904,assignment,0
156220230,assignment,0
156230868,assignment,0
156230886,assignment,0
156480863,assignment,0
156740443,assignment,0
156790204,assignment,0
156870308,assignment,0
156870540,assignment,0
156870627,assignment,0
156940104,assignment,0
156950326,assignment,0
157180453,assignment,0
157290001,assignment,0
157320593,assignment,0
157480540,assignment,0
157550947,assignment,0
157660619,assignment,0
157810825,assignment,0
157880453,assignment,0
157880567,assignment,0
157880684,assignment,0
157970869,assignment,0
158010054,assignment,0
158100756,assignment,0
158200317,assignment,0
158510025,assignment,0
158530296,assignment,0
158730336,assignment,0
158780116,assignment,0
158960774,assignment,0
159080991,assignment,0
159150109,assignment,0
159150122,assignment,0
159150149,assignment,0
159150178,assignment,0
159160988,assignment,0
159180192,assignment,0
159230470,assignment,0
159240745,assignment,0
159240747,assignment,0
159240754,assignment,0
159240756,assignment,0
159240867,assignment,0
159240869,assignment,0
159240871,assignment,0
159240875,assignment,0
159240877,assignment,0
159240879,assignment,0
159240893,assignment,0
159240899,assignment,0
159240908,assignment,0
159250564,assignment,0
159260404,assignment,0
159260417,assignment,0
159260884,assignment,0
159330437,assignment,0
159330595,assignment,0
159350872,assignment,0
159350897,assignment,0
159470179,assignment,0
159550839,assignment,0
159640639,assignment,0
159710396,assignment,0
159720148,assignment,0
159720887,assignment,0
159750922,assignment,0
159750981,assignment,0
159760001,assignment,0
159760017,assignment,0
159800930,assignment,0
159830227,assignment,0
159910482,assignment,0
160170717,assignment,0
160370366,assignment,0
160380037,assignment,0
160410120,assignment,0
160480032,assignment,0
160480137,assignment,0
160490027,assignment,0
160530077,assignment,0
160590357,assignment,0
160870559,assignment,0
160870758,assignment,0
160910417,assignment,0
160910431,assignment,0
160910720,assignment,0
160960323,assignment,0
160970264,assignment,0
161060901,assignment,0
161090340,assignment,0
161250566,assignment,0
161330808,assignment,0
161350597,assignment,0
161530951,assignment,0
161640952,assignment,0
161690980,assignment,0
161720879,assignment,0
161760211,assignment,0
161760824,assignment,0
161820771,assignment,0
161940774,assignment,0
161950282,assignment,0
162040173,assignment,0
162070703,assignment,0
162260765,assignment,0
162370161,assignment,0
162620849,assignment,0
162740141,assignment,0
162850241,assignment,0
162890965,assignment,0
162900842,assignment,0
163070651,assignment,0
163100260,assignment,0
163510447,assignment,0
163770140,assignment,0
163860632,assignment,0
164000892,assignment,0
164020187,assignment,0
164070082,assignment,0
164180873,assignment,0
164180980,assignment,0
164270432,assignment,0
164360323,assignment,0
164460292,assignment,0
164460566,assignment,0
164610664,assignment,0
164800234,assignment,0
164800847,assignment,0
164810436,assignment,0
164890227,assignment,0
164890231,assignment,0
164890668,assignment,0
165130770,assignment,0
165170188,assignment,0
165190831,assignment,0
165310538,assignment,0
165460520,assignment,0
165470402,assignment,0
165470488,assignment,0
165680573,assignment,0
165930872,assignment,0
165950102,assignment,0
165960068,assignment,0
165960074,assignment,0
165960077,assignment,0
166020083,assignment,0
166020157,assignment,0
166020853,assignment,0
166100252,assignment,0
166100489,assignment,0
166210035,assignment,0
166210102,assignment,0
166210363,assignment,0
166210852,assignment,0
166210855,assignment,0
166250800,assignment,0
166450669,assignment,0
166900213,assignment,0
167220684,assignment,0
167450822,assignment,0
167690175,assignment,0
167700830,assignment,0
167700841,assignment,0
167700928,assignment,0
167990487,assignment,0
168000564,assignment,0
168090994,assignment,0
168250660,assignment,0
168510007,assignment,0
168620383,assignment,0
168640619,assignment,0
168670514,assignment,0
168880118,assignment,0
169060454,assignment,0
169140235,assignment,0
169140242,assignment,0
169140257,assignment,0
169360023,assignment,0
169450654,assignment,0
169450664,assignment,0
169450691,assignment,0
169520331,assignment,0
169570601,assignment,0
169670952,assignment,0
169760048,assignment,0
169780830,assignment,0
170050852,assignment,0
170080159,assignment,0
170110624,assignment,0
170150910,assignment,0
170280684,assignment,0
170320456,assignment,0
170340826,assignment,0
170530165,assignment,0
170530702,assignment,0
170570001,assignment,0
170570289,assignment,0
170570292,assignment,0
170570304,assignment,0
170710844,assignment,0
170710853,assignment,0
170830343,assignment,0
170830434,assignment,0
170890203,assignment,0
170970627,assignment,0
171050022,assignment,0
171070662,assignment,0
171160828,assignment,0
171250740,assignment,0
171440888,assignment,0
171440989,assignment,0
171490883,assignment,0
171570446,assignment,0
171600164,assignment,0
171690132,assignment,0
171730090,assignment,0
171760112,assignment,0
171760182,assignment,0
171760961,assignment,0
171900787,assignment,0
171910717,assignment,0
171960986,assignment,0
171990098,assignment,0
172010535,assignment,0
172060666,assignment,0
172070020,assignment,0
172230102,assignment,0
172230741,assignment,0
172230753,assignment,0
172240289,assignment,0
172570983,assignment,0
172750109,assignment,0
172840300,assignment,0
172850303,assignment,0
172970505,assignment,0
172970511,assignment,0
172970516,assignment,0
172970789,assignment,0
172970817,assignment,0
172990010,assignment,0
173030081,assignment,0
173120725,assignment,0
173210680,assignment,0
173320977,assignment,0
173320996,assignment,0
173360885,assignment,0
173370089,assignment,0
173410224,assignment,0
173440493,assignment,0
173510033,assignment,0
173510044,assignment,0
173660096,assignment,0
173790526,assignment,0
173880032,assignment,0
174050998,assignment,0
174270321,assignment,0
174270467,assignment,0
174330495,assignment,0
174340976,assignment,0
174340997,assignment,0
174360012,assignment,0
174370387,assignment,0
174440465,assignment,0
174580077,assignment,0
174710710,assignment,0
174760011,assignment,0
174780294,assignment,0
174840117,assignment,0
174840130,assignment,0
175060707,assignment,0
175070348,assignment,0
175070596,assignment,0
175070946,assignment,0
175150386,assignment,0
175370346,assignment,0
175410965,assignment,0
175550217,assignment,0
175620480,assignment,0
175620756,assignment,0
175670626,assignment,0
175760638,assignment,0
175920479,assignment,0
175930609,assignment,0
175960304,assignment,0
176060135,assignment,0
176190736,assignment,0
176190818,assignment,0
176190872,assignment,0
176220045,assignment,0
176250087,assignment,0
176310397,assignment,0
176410199,assignment,0
176460405,assignment,0
176660852,assignment,0
176750199,assignment,0
176750518,assignment,0
176750626,assignment,0
176790891,assignment,0
176810098,assignment,0
176930523,assignment,0
177060107,assignment,0
177060687,assignment,0
177250983,assignment,0
177320212,assignment,0
177390969,assignment,0
177450549,assignment,0
177460923,assignment,0
177460929,assignment,0
177460932,assignment,0
177520887,assignment,0
177580069,assignment,0
177590057,assignment,0
177590431,assignment,0
177660932,assignment,0
178000412,assignment,0
178140539,assignment,0
178200861,assignment,0
178280030,assignment,0
178330332,assignment,0
178520114,assignment,0
178600164,assignment,0
178600387,assignment,0
178700774,assignment,0
178720233,assignment,0
178720378,assignment,0
178810889,assignment,0
178820313,assignment,0
178930285,assignment,0
179010739,assignment,0
179030871,assignment,0
179040337,assignment,0
179140758,assignment,0
179190154,assignment,0
179210977,assignment,0
179220142,assignment,0
179260783,assignment,0
179680431,assignment,0
179790585,assignment,0
179820292,assignment,0
179880196,assignment,0
179940847,assignment,0
179950525,assignment,0
180010215,assignment,0
180150339,assignment,0
180190520,assignment,0
180260577,assignment,0
180430608,assignment,0
180430738,assignment,0
180430746,assignment,0
180450607,assignment,0
180470265,assignment,0
180610086,assignment,0
180620604,assignment,0
180780412,assignment,0
180900848,assignment,0
180930096,assignment,0
180940141,assignment,0
180950899,assignment,0
181040084,assignment,0
181040090,assignment,0
181040093,assignment,0
181040107,assignment,0
181050047,assignment,0
181050050,assignment,0
181050213,assignment,0
181250696,assignment,0
181250699,assignment,0
181320479,assignment,0
181360873,assignment,0
181370448,assignment,0
181400671,assignment,0
181400680,assignment,0
181400704,assignment,0
181410385,assignment,0
